,Time,State,Probability
1382,0.10745154202751579,3,0.58
1383,0.10745154202751579,4,0.21
1384,0.108013237941803,1,0.03
1385,0.108013237941803,2,0.18
1386,0.108013237941803,3,0.57
1387,0.108013237941803,4,0.22
1388,0.108343121263395,1,0.04
1389,0.108343121263395,2,0.17
1390,0.108343121263395,3,0.58
1391,0.108343121263395,4,0.21
1392,0.10877843158544347,1,0.04
1393,0.10877843158544347,2,0.18
1394,0.10877843158544347,3,0.56
1395,0.10877843158544347,4,0.22
1396,0.10889015218700727,1,0.04
1397,0.10889015218700727,2,0.18
1398,0.10889015218700727,3,0.58
1399,0.10889015218700727,4,0.2
1400,0.10898057347479811,1,0.04
1401,0.10898057347479811,2,0.19
1402,0.10898057347479811,3,0.58
1403,0.10898057347479811,4,0.19
1404,0.10903469278353022,1,0.05
1405,0.10903469278353022,2,0.18
1406,0.10903469278353022,3,0.57
1407,0.10903469278353022,4,0.2
1408,0.10909708583178843,1,0.05
1409,0.10909708583178843,2,0.18
1410,0.10909708583178843,3,0.57
1411,0.10909708583178843,4,0.2
1412,0.10929921093070938,1,0.06
1413,0.10929921093070938,2,0.17
1414,0.10929921093070938,3,0.58
1415,0.10929921093070938,4,0.19
1416,0.11011534489520496,1,0.06
1417,0.11011534489520496,2,0.18
1418,0.11011534489520496,3,0.56
1419,0.11011534489520496,4,0.2
1420,0.1103838916065509,1,0.07
1421,0.1103838916065509,2,0.18
1422,0.1103838916065509,3,0.57
1423,0.1103838916065509,4,0.18
1424,0.11081487588479592,1,0.07
1425,0.11081487588479592,2,0.18
1426,0.11081487588479592,3,0.57
1427,0.11081487588479592,4,0.18
1428,0.11089478829481048,1,0.06
1429,0.11089478829481048,2,0.18
1430,0.11089478829481048,3,0.56
1431,0.11089478829481048,4,0.2
1432,0.1113960182576773,1,0.05
1433,0.1113960182576773,2,0.17
1434,0.1113960182576773,3,0.57
1435,0.1113960182576773,4,0.21
1436,0.11231488935229457,1,0.05
1437,0.11231488935229457,2,0.16
1438,0.11231488935229457,3,0.59
1439,0.11231488935229457,4,0.2
1440,0.1130108921647654,1,0.04
1441,0.1130108921647654,2,0.16
1442,0.1130108921647654,3,0.6
1443,0.1130108921647654,4,0.2
1444,0.11338970270834785,1,0.04
1445,0.11338970270834785,2,0.16
1446,0.11338970270834785,3,0.6
1447,0.11338970270834785,4,0.2
1448,0.1136168095164353,1,0.04
1449,0.1136168095164353,2,0.16
1450,0.1136168095164353,3,0.58
1451,0.1136168095164353,4,0.22
1452,0.11391725160554944,1,0.05
1453,0.11391725160554944,2,0.15
1454,0.11391725160554944,3,0.57
1455,0.11391725160554944,4,0.23
1456,0.11397859601359879,1,0.06
1457,0.11397859601359879,2,0.15
1458,0.11397859601359879,3,0.58
1459,0.11397859601359879,4,0.21
1460,0.11414559988643562,1,0.07
1461,0.11414559988643562,2,0.15
1462,0.11414559988643562,3,0.57
1463,0.11414559988643562,4,0.21
1464,0.1144195923974819,1,0.07
1465,0.1144195923974819,2,0.15
1466,0.1144195923974819,3,0.57
1467,0.1144195923974819,4,0.21
1468,0.11527887978077535,1,0.07
1469,0.11527887978077535,2,0.14
1470,0.11527887978077535,3,0.57
1471,0.11527887978077535,4,0.22
1472,0.11533446393465982,1,0.06
1473,0.11533446393465982,2,0.13
1474,0.11533446393465982,3,0.58
1475,0.11533446393465982,4,0.23
1476,0.11549669621078867,1,0.05
1477,0.11549669621078867,2,0.13
1478,0.11549669621078867,3,0.57
1479,0.11549669621078867,4,0.25
1480,0.11592236401663057,1,0.04
1481,0.11592236401663057,2,0.12
1482,0.11592236401663057,3,0.58
1483,0.11592236401663057,4,0.26
1484,0.11605416314199953,1,0.03
1485,0.11605416314199953,2,0.12
1486,0.11605416314199953,3,0.57
1487,0.11605416314199953,4,0.28
1488,0.11628449552419838,1,0.03
1489,0.11628449552419838,2,0.13
1490,0.11628449552419838,3,0.57
1491,0.11628449552419838,4,0.27
1492,0.11639409398391468,1,0.03
1493,0.11639409398391468,2,0.13
1494,0.11639409398391468,3,0.59
1495,0.11639409398391468,4,0.25
1496,0.11659142778053751,1,0.04
1497,0.11659142778053751,2,0.14
1498,0.11659142778053751,3,0.58
1499,0.11659142778053751,4,0.24
1500,0.11682863440082104,1,0.05
